1;Café;Cera de soya aromática 60gr. <br>Tema: cafetería.;45;assets/img/products/cafe.jpeg
2;Chocolate;Cera de soya aromática 60gr. <br>Tema: cafetería.;45;assets/img/products/chocolate.jpeg
3;Moka;Cera de soya aromática 60gr. <br>Tema: cafetería.;45;assets/img/products/moka.jpeg
4;Vainilla;Cera de soya aromática 60gr. <br>Tema: cafetería.;45;assets/img/products/vainilla.jpeg
5;Citronela y hierbabuena;Cera de soya aromática 60gr. <br>Tema: cactus.;45;assets/img/products/citronela-hierbabuena.jpeg
6;Té verde y cítricos;Cera de soya aromática 60gr. <br>Tema: cactus.;45;assets/img/products/te-verde-citricos.jpeg
7;Citronela y cítricos;Cera de soya aromática 60gr. <br>Tema: cactus.;45;assets/img/products/citronela-citricos.jpeg
8;Cactus canastita;Cera de soya aromática 60gr. <br>Tema: cactus.;45;assets/img/products/cactus-canastita.jpeg
9;Ponche de frutas;Cera de soya aromática 60gr. <br>Tema: navidad.;45;assets/img/products/ponche-frutas.jpeg
10;Pino nórdico;Cera de soya aromática 60gr. <br>Tema: navidad.;45;assets/img/products/pino-nordico.jpeg
11;Galleta de jengibre;Cera de soya aromática 60gr. <br>Tema: navidad.;45;assets/img/products/galleta-jengibre.jpeg
12;Bastón de menta;Cera de soya aromática 60gr. <br>Tema: navidad.;45;assets/img/products/baston-menta.jpeg
13;Manzana y canela;Cera de soya aromática 60gr. <br>Tema: navidad.;45;assets/img/products/manzana-canela.jpeg
